% ============================================================================ 
%  This file contains customized sorting keys for non decomposable characters 
%  Name     :  sort_kan_IN_strings.txt 
%  
%  Description : ELOCL.DLL for ELangkannada, ELOCL.xx 
%  Generated on : Mon Mar 26 18:41:17 2007 
%  Language : kannada 
%  Region : India 
%
%  Copyright ©2006 Nokia Corporation. 
%  This material, including documentation and any related 
%  computer programs, is protected by copyright controlled by 
%  Nokia Corporation. All rights are reserved. Copying, 
%  including reproducing, storing,  adapting or translating, any 
%  or all of this material requires the prior written consent of 
%  Nokia Corporation. This material also contains confidential 
%  information which may not be disclosed to others without the 
%  prior written consent of Nokia Corporation. 
%  ============================================================================  

% Modifiers  

% Vowels 
0C9F 0C82;[.07A1.0020.0002.0C9F]
0C9F 0CBC 0C82;[.07A1.0020.0008.0C9F]
0C9F 0C83;[.07A2.0020.0002.0C9F]
0C9F 0CBC 0C83;[.07A2.0020.0008.0C9F]
% RULE for base consonant 0C9F in basekeys.txt 
0C9F 0CBC;[.07A3.0020.0008.0C9F]


0CA0 0C82;[.07A4.0020.0002.0CA0]
0CA0 0CBC 0C82;[.07A4.0020.0008.0CA0]
0CA0 0C83;[.07A5.0020.0002.0CA0]
0CA0 0CBC 0C83;[.07A5.0020.0008.0CA0]
% RULE for base consonant 0CA0 in basekeys.txt 
0CA0 0CBC;[.07A6.0020.0008.0CA0]


0CA1 0C82;[.07A7.0020.0002.0CA1]
0CA1 0CBC 0C82;[.07A7.0020.0008.0CA1]
0CA1 0C83;[.07A8.0020.0002.0CA1]
0CA1 0CBC 0C83;[.07A8.0020.0008.0CA1]
% RULE for base consonant 0CA1 in basekeys.txt 
0CA1 0CBC;[.07A9.0020.0008.0CA1]


0CA2 0C82;[.07AA.0020.0002.0CA2]
0CA2 0CBC 0C82;[.07AA.0020.0008.0CA2]
0CA2 0C83;[.07AB.0020.0002.0CA2]
0CA2 0CBC 0C83;[.07AB.0020.0008.0CA2]
% RULE for base consonant 0CA2 in basekeys.txt 
0CA2 0CBC;[.07AC.0020.0008.0CA2]


0CA3 0C82;[.07AD.0020.0002.0CA3]
0CA3 0CBC 0C82;[.07AD.0020.0008.0CA3]
0CA3 0C83;[.07AE.0020.0002.0CA3]
