% ============================================================================
%  This file contains customized sorting keys for non decomposable characters
%  Name     :  SORT_eng_in_basekeys.txt
%  Part of  : S60
%
%  Description : ELOCL.DLL for Indic English ELOCL.186
%  Generated on : 30.5.2006 8:22:48
%  Language : Indic English
%  Region : India
%
%  Copyright ©2006 Nokia Corporation. 
%  This material, including documentation and any related
%  computer programs, is protected by copyright controlled by
%  Nokia Corporation. All rights are reserved. Copying,
%  including reproducing, storing,  adapting or translating, any
%  or all of this material requires the prior written consent of
%  Nokia Corporation. This material also contains confidential
%  information which may not be disclosed to others without the
%  prior written consent of Nokia Corporation.
% ============================================================================


2461 ; [.01C7.0050.0006.2461] % CIRCLED DIGIT TWO : Goes after :  FULLWIDTH DIGIT TWO
00B2 ; [.01C7.0050.0014.00B2] % SUPERSCRIPT TWO : Goes after :  CIRCLED DIGIT TWO
2082 ; [.01C7.0050.0015.2082] % SUBSCRIPT TWO : Goes after :  SUPERSCRIPT TWO
2777 ; [.01C7.0050.0006.2777] % DINGBAT NEGATIVE CIRCLED DIGIT TWO : Goes after :  SUBSCRIPT TWO
2781 ; [.01C7.0050.0006.2781] % DINGBAT CIRCLED SANS-SERIF DIGIT TWO : Goes after :  DINGBAT NEGATIVE CIRCLED DIGIT TWO
278B ; [.01C7.0050.0006.278B] % DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT TWO : Goes after :  DINGBAT CIRCLED SANS-SERIF DIGIT TWO
0662 ; [.01C7.0050.0002.0662] % ARABIC-INDIC DIGIT TWO : Goes after :  DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT TWO
06F2 ; [.01C7.0050.0002.06F2] % EXTENDED ARABIC-INDIC DIGIT TWO : Goes after :  ARABIC-INDIC DIGIT TWO
0968 ; [.01C7.0040.0002.0968] % DEVANAGARI DIGIT TWO : Goes after :  EXTENDED ARABIC-INDIC DIGIT TWO
09E8 ; [.01C7.0050.0002.09E8] % BENGALI DIGIT TWO : Goes after :  DEVANAGARI DIGIT TWO
09F5 ; [.01C7.0050.0002.09F5] % BENGALI CURRENCY NUMERATOR TWO : Goes after :  BENGALI DIGIT TWO
0A68 ; [.01C7.0050.0002.0A68] % GURMUKHI DIGIT TWO : Goes after :  BENGALI CURRENCY NUMERATOR TWO
0AE8 ; [.01C7.0050.0002.0AE8] % GUJARATI DIGIT TWO : Goes after :  GURMUKHI DIGIT TWO
0B68 ; [.01C7.0050.0002.0B68] % ORIYA DIGIT TWO : Goes after :  GUJARATI DIGIT TWO
0BE8 ; [.01C7.0050.0002.0BE8] % TAMIL DIGIT TWO : Goes after :  ORIYA DIGIT TWO
0C68 ; [.01C7.0050.0002.0C68] % TELUGU DIGIT TWO : Goes after :  TAMIL DIGIT TWO
0CE8 ; [.01C7.0050.0002.0CE8] % KANNADA DIGIT TWO : Goes after :  TELUGU DIGIT TWO
0D68 ; [.01C7.0050.0002.0D68] % MALAYALAM DIGIT TWO : Goes after :  KANNADA DIGIT TWO
0E52 ; [.01C7.0050.0002.0E52] % THAI DIGIT TWO : Goes after :  MALAYALAM DIGIT TWO
0ED2 ; [.01C7.0050.0002.0ED2] % LAO DIGIT TWO : Goes after :  THAI DIGIT TWO
0F22 ; [.01C7.0050.0002.0F22] % TIBETAN DIGIT TWO : Goes after :  LAO DIGIT TWO
3022 ; [.01C7.0050.0002.3022] % HANGZHOU NUMERAL TWO : Goes after :  TIBETAN DIGIT TWO
0033 ; [.01C8.0050.0002.0033] % DIGIT THREE : Goes after :  HANGZHOU NUMERAL TWO
FF13 ; [.01C8.0050.0003.FF13] % FULLWIDTH DIGIT THREE : Goes after :  DIGIT THREE
2462 ; [.01C8.0050.0006.2462] % CIRCLED DIGIT THREE : Goes after :  FULLWIDTH DIGIT THREE
00B3 ; [.01C8.0050.0014.00B3] % SUPERSCRIPT THREE : Goes after :  CIRCLED DIGIT THREE
2083 ; [.01C8.0050.0015.2083] % SUBSCRIPT THREE : Goes after :  SUPERSCRIPT THREE
2778 ; [.01C8.0050.0006.2778] % DINGBAT NEGATIVE CIRCLED DIGIT THREE : Goes after :  SUBSCRIPT THREE
2782 ; [.01C8.0050.0006.2782] % DINGBAT CIRCLED SANS-SERIF DIGIT THREE : Goes after :  DINGBAT NEGATIVE CIRCLED DIGIT THREE
278C ; [.01C8.0050.0006.278C] % DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT THREE : Goes after :  DINGBAT CIRCLED SANS-SERIF DIGIT THREE
0663 ; [.01C8.0050.0002.0663] % ARABIC-INDIC DIGIT THREE : Goes after :  DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT THREE
06F3 ; [.01C8.0050.0002.06F3] % EXTENDED ARABIC-INDIC DIGIT THREE : Goes after :  ARABIC-INDIC DIGIT THREE
0969 ; [.01C8.0040.0002.0969] % DEVANAGARI DIGIT THREE : Goes after :  EXTENDED ARABIC-INDIC DIGIT THREE
09E9 ; [.01C8.0050.0002.09E9] % BENGALI DIGIT THREE : Goes after :  DEVANAGARI DIGIT THREE
09F6 ; [.01C8.0050.0002.09F6] % BENGALI CURRENCY NUMERATOR THREE : Goes after :  BENGALI DIGIT THREE
0A69 ; [.01C8.0050.0002.0A69] % GURMUKHI DIGIT THREE : Goes after :  BENGALI CURRENCY NUMERATOR THREE
0AE9 ; [.01C8.0050.0002.0AE9] % GUJARATI DIGIT THREE : Goes after :  GURMUKHI DIGIT THREE
0B69 ; [.01C8.0050.0002.0B69] % ORIYA DIGIT THREE : Goes after :  GUJARATI DIGIT THREE
0BE9 ; [.01C8.0050.0002.0BE9] % TAMIL DIGIT THREE : Goes after :  ORIYA DIGIT THREE
0C69 ; [.01C8.0050.0002.0C69] % TELUGU DIGIT THREE : Goes after :  TAMIL DIGIT THREE
0CE9 ; [.01C8.0050.0002.0CE9] % KANNADA DIGIT THREE : Goes after :  TELUGU DIGIT THREE
0D69 ; [.01C8.0050.0002.0D69] % MALAYALAM DIGIT THREE : Goes after :  KANNADA DIGIT THREE
0E53 ; [.01C8.0050.0002.0E53] % THAI DIGIT THREE : Goes after :  MALAYALAM DIGIT THREE
0ED3 ; [.01C8.0050.0002.0ED3] % LAO DIGIT THREE : Goes after :  THAI DIGIT THREE
0F23 ; [.01C8.0050.0002.0F23] % TIBETAN DIGIT THREE : Goes after :  LAO DIGIT THREE
3023 ; [.01C8.0050.0002.3023] % HANGZHOU NUMERAL THREE : Goes after :  TIBETAN DIGIT THREE
0034 ; [.01C9.0050.0002.0034] % DIGIT FOUR : Goes after :  HANGZHOU NUMERAL THREE
FF14 ; [.01C9.0050.0003.FF14] % FULLWIDTH DIGIT FOUR : Goes after :  DIGIT FOUR
2463 ; [.01C9.0050.0006.2463] % CIRCLED DIGIT FOUR : Goes after :  FULLWIDTH DIGIT FOUR
2074 ; [.01C9.0050.0014.2074] % SUPERSCRIPT FOUR : Goes after :  CIRCLED DIGIT FOUR
2084 ; [.01C9.0050.0015.2084] % SUBSCRIPT FOUR : Goes after :  SUPERSCRIPT FOUR
2779 ; [.01C9.0050.0006.2779] % DINGBAT NEGATIVE CIRCLED DIGIT FOUR : Goes after :  SUBSCRIPT FOUR
2783 ; [.01C9.0050.0006.2783] % DINGBAT CIRCLED SANS-SERIF DIGIT FOUR : Goes after :  DINGBAT NEGATIVE CIRCLED DIGIT FOUR
278D ; [.01C9.0050.0006.278D] % DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FOUR : Goes after :  DINGBAT CIRCLED SANS-SERIF DIGIT FOUR
0664 ; [.01C9.0050.0002.0664] % ARABIC-INDIC DIGIT FOUR : Goes after :  DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FOUR
06F4 ; [.01C9.0050.0002.06F4] % EXTENDED ARABIC-INDIC DIGIT FOUR : Goes after :  ARABIC-INDIC DIGIT FOUR
096A ; [.01C9.0040.0002.096A] % DEVANAGARI DIGIT FOUR : Goes after :  EXTENDED ARABIC-INDIC DIGIT FOUR
09EA ; [.01C9.0050.0002.09EA] % BENGALI DIGIT FOUR : Goes after :  DEVANAGARI DIGIT FOUR
09F7 ; [.01C9.0050.0002.09F7] % BENGALI CURRENCY NUMERATOR FOUR : Goes after :  BENGALI DIGIT FOUR
