% ============================================================================
%  |||| This file is generated by UCAMaker ||||
%  It contains customized sorting keys for non decomposable characters
%  Name     :  col_hi_IN_basekeys.txt
%  Part of  : S60
%
%  Description : ELOCL.DLL for ELangHindi, ELOCL.58
%  Generated on : 1.12.2005 13:52:09
%  Language : Hindi
%  Region : India
%
%  Copyright ©2005 Nokia Corporation. 
%  This material, including documentation and any related
%  computer programs, is protected by copyright controlled by
%  Nokia Corporation. All rights are reserved. Copying,
%  including reproducing, storing,  adapting or translating, any
%  or all of this material requires the prior written consent of
%  Nokia Corporation. This material also contains confidential
%  information which may not be disclosed to others without the
%  prior written consent of Nokia Corporation.
% ============================================================================



0901 ; [.0B0E.0020.0002.0901] % DEVANAGARI SIGN CANDRABINDU : Goes after :  DEVANAGARI DIGIT NINE
0902 ; [.0B0F.0020.0002.0902] % DEVANAGARI SIGN ANUSVARA : Goes after :  DEVANAGARI SIGN CANDRABINDU
0903 ; [.0B10.0020.0002.0903] % DEVANAGARI SIGN VISARGA : Goes after :  DEVANAGARI SIGN ANUSVARA
0970 ; [.0B11.0020.0002.0970] % DEVANAGARI ABBREVIATION SIGN : Goes after :  DEVANAGARI SIGN VISARGA
0904 ; [.0B12.0020.0005.0904] %Special character : Goes after :  DEVANAGARI ABBREVIATION SIGN
0905 ; [.0B13.0020.0002.0905] % DEVANAGARI LETTER A : Goes after : Special character
0906 ; [.0B14.0020.0002.0906] % DEVANAGARI LETTER AA : Goes after :  DEVANAGARI LETTER A
0907 ; [.0B15.0020.0002.0907] % DEVANAGARI LETTER I : Goes after :  DEVANAGARI LETTER AA
0908 ; [.0B16.0020.0002.0908] % DEVANAGARI LETTER II : Goes after :  DEVANAGARI LETTER I
0909 ; [.0B17.0020.0002.0909] % DEVANAGARI LETTER U : Goes after :  DEVANAGARI LETTER II
090A ; [.0B18.0020.0002.090A] % DEVANAGARI LETTER UU : Goes after :  DEVANAGARI LETTER U
090B ; [.0B19.0020.0002.090B] % DEVANAGARI LETTER VOCALIC R : Goes after :  DEVANAGARI LETTER UU
0960 ; [.0B1A.0020.0002.0960] % DEVANAGARI LETTER VOCALIC RR : Goes after :  DEVANAGARI LETTER VOCALIC R
090C ; [.0B1B.0020.0002.090C] % DEVANAGARI LETTER VOCALIC L : Goes after :  DEVANAGARI LETTER VOCALIC RR
0961 ; [.0B1C.0020.0002.0961] % DEVANAGARI LETTER VOCALIC LL : Goes after :  DEVANAGARI LETTER VOCALIC L
090D ; [.0B1D.0020.0002.090D] % DEVANAGARI LETTER CANDRA E : Goes after :  DEVANAGARI LETTER VOCALIC LL
090E ; [.0B1E.0020.0002.090E] % DEVANAGARI LETTER SHORT E : Goes after :  DEVANAGARI LETTER CANDRA E
090F ; [.0B1F.0020.0002.090F] % DEVANAGARI LETTER E : Goes after :  DEVANAGARI LETTER SHORT E
0910 ; [.0B20.0020.0002.0910] % DEVANAGARI LETTER AI : Goes after :  DEVANAGARI LETTER E
0911 ; [.0B21.0020.0002.0911] % DEVANAGARI LETTER CANDRA O : Goes after :  DEVANAGARI LETTER AI
0912 ; [.0B22.0020.0002.0912] % DEVANAGARI LETTER SHORT O : Goes after :  DEVANAGARI LETTER CANDRA O
0913 ; [.0B23.0020.0002.0913] % DEVANAGARI LETTER O : Goes after :  DEVANAGARI LETTER SHORT O
0914 ; [.0B24.0020.0002.0914] % DEVANAGARI LETTER AU : Goes after :  DEVANAGARI LETTER O
093D ; [.0B25.0020.0002.093D] % DEVANAGARI SIGN AVAGRAHA : Goes after :  DEVANAGARI LETTER AU
0915 ; [.0B26.0020.0002.0915] % DEVANAGARI LETTER KA : Goes after :  DEVANAGARI SIGN AVAGRAHA
         % RULE in strings.txt:  DEVANAGARI LETTER QA : Goes after :  DEVANAGARI LETTER KA
0916 ; [.0B2A.0020.0002.0916] % DEVANAGARI LETTER KHA : Goes after :  DEVANAGARI LETTER QA
         % RULE in strings.txt:  DEVANAGARI LETTER KHHA : Goes after :  DEVANAGARI LETTER KHA
0917 ; [.0B2E.0020.0002.0917] % DEVANAGARI LETTER GA : Goes after :  DEVANAGARI LETTER KHHA
         % RULE in strings.txt:  DEVANAGARI LETTER GHHA : Goes after :  DEVANAGARI LETTER GA
0918 ; [.0B32.0020.0002.0918] % DEVANAGARI LETTER GHA : Goes after :  DEVANAGARI LETTER GHHA
0919 ; [.0B34.0020.0002.0919] % DEVANAGARI LETTER NGA : Goes after :  DEVANAGARI LETTER GHA
091A ; [.0B36.0020.0002.091A] % DEVANAGARI LETTER CA : Goes after :  DEVANAGARI LETTER NGA
091B ; [.0B38.0020.0002.091B] % DEVANAGARI LETTER CHA : Goes after :  DEVANAGARI LETTER CA
091C ; [.0B3A.0020.0002.091C] % DEVANAGARI LETTER JA : Goes after :  DEVANAGARI LETTER CHA
         % RULE in strings.txt:  DEVANAGARI LETTER ZA : Goes after :  DEVANAGARI LETTER JA
091D ; [.0B3E.0020.0002.091D] % DEVANAGARI LETTER JHA : Goes after :  DEVANAGARI LETTER ZA
091E ; [.0B40.0020.0002.091E] % DEVANAGARI LETTER NYA : Goes after :  DEVANAGARI LETTER JHA
091F ; [.0B42.0020.0002.091F] % DEVANAGARI LETTER TTA : Goes after :  DEVANAGARI LETTER NYA
0920 ; [.0B44.0020.0002.0920] % DEVANAGARI LETTER TTHA : Goes after :  DEVANAGARI LETTER TTA
0921 ; [.0B46.0020.0002.0921] % DEVANAGARI LETTER DDA : Goes after :  DEVANAGARI LETTER TTHA
         % RULE in strings.txt:  DEVANAGARI LETTER DDDHA : Goes after :  DEVANAGARI LETTER DDA
0922 ; [.0B4A.0020.0002.0922] % DEVANAGARI LETTER DDHA : Goes after :  DEVANAGARI LETTER DDDHA
         % RULE in strings.txt:  DEVANAGARI LETTER RHA : Goes after :  DEVANAGARI LETTER DDHA
0923 ; [.0B4F.0020.0002.0923] % DEVANAGARI LETTER NNA : Goes after :  DEVANAGARI LETTER RHA
0924 ; [.0B51.0020.0002.0924] % DEVANAGARI LETTER TA : Goes after :  DEVANAGARI LETTER NNA
0925 ; [.0B53.0020.0002.0925] % DEVANAGARI LETTER THA : Goes after :  DEVANAGARI LETTER TA
0926 ; [.0B55.0020.0002.0926] % DEVANAGARI LETTER DA : Goes after :  DEVANAGARI LETTER THA
0927 ; [.0B57.0020.0002.0927] % DEVANAGARI LETTER DHA : Goes after :  DEVANAGARI LETTER DA
0928 ; [.0B59.0020.0002.0928] % DEVANAGARI LETTER NA : Goes after :  DEVANAGARI LETTER DHA
